,User,Level_of_Study,Year_of_Course,Registration_Status,Course_Title,Course_Code,Teaching_Sessions,Attended,Explained_Absences,Non_Attendance,Percentage_Attendance,Percentage_Attendance_Unexcused,Last_Attendence,Assessments,Submitted,Explained_Non_Submission,Non_Submission,Within_Late_Period_Flag,Percentage_Submitted,Last_Submitted,Academic_Advising_Sessions,Attended_AA,Explained_Non_Attendances_AA,Non_Attendances_AA,Attendance_Not_Recorded_AA,Percentage_Attendance_AA,Last_Attended_AA
2265,43002216.0,UG,3.0,REGISTERED,Computer Science,G5001U,12.0,5.0,1.0,6.0,0.416666666666667,0.5,2017-11-03T15:00:00.000000,1.0,1.0,0.0,0.0,0.0,1.0,2017-11-09T04:53:42.999000,2.0,2.0,0.0,0.0,0.0,1.0,2017-11-03T00:00:00.000000
2266,43209236.0,UG,1.0,REGISTERED,Comp for Bus and Mgmt,GH561U,26.0,14.0,0.0,12.0,0.538461538461538,0.538461538461538,2017-11-06T15:00:00.000000,1.0,1.0,0.0,0.0,0.0,1.0,2017-11-02T15:31:03.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2267,42604164.0,UG,3.0,REGISTERED,Mechanical Engineering,H3002U,7.0,5.0,0.0,2.0,0.714285714285714,0.714285714285714,2017-11-06T11:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2268,43202258.0,UG,1.0,REGISTERED,Mechanical Engineering,H3002U,27.0,2.0,0.0,25.0,0.0740740740740741,0.0740740740740741,2017-10-23T12:00:00.000000,4.0,0.0,0.0,4.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2269,42801422.0,UG,4.0,REGISTERED,Computer Science,G4010U,12.0,10.0,0.0,2.0,0.833333333333333,0.833333333333333,2017-11-03T09:00:00.000000,3.0,2.0,0.0,1.0,0.0,0.666666666666667,2017-11-02T15:21:07.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2270,43008430.0,UG,3.0,REGISTERED,Elecl Eng and Elecc Eng,H5001U,21.0,14.0,0.0,7.0,0.666666666666667,0.666666666666667,2017-11-06T12:59:59.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2271,43007866.0,UG,2.0,REGISTERED,Mechanical Engineering,H3002U,19.0,14.0,0.0,5.0,0.736842105263158,0.736842105263158,2017-11-06T09:00:00.000000,2.0,2.0,0.0,0.0,0.0,1.0,2017-11-02T11:41:11.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2272,43436204.0,PGT,1.0,REGISTERED,Mgmt of IT,G5511T,20.0,19.0,0.0,1.0,0.95,0.95,2017-11-06T11:00:00.000000,1.0,1.0,0.0,0.0,0.0,1.0,2017-10-26T03:18:50.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2273,43433944.0,PGT,1.0,REGISTERED,Adv Mech Eng,H3501T,15.0,14.0,0.0,1.0,0.933333333333333,0.933333333333333,2017-11-06T15:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2274,43208324.0,UG,1.0,REGISTERED,Comp Sci and AI,G5005U,25.0,17.0,1.0,7.0,0.68,0.72,2017-11-06T15:00:00.000000,1.0,1.0,0.0,0.0,0.0,1.0,2017-11-02T14:34:37.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2275,43210620.0,UG,2.0,REGISTERED,Computer Science,G5001U,15.0,2.0,0.0,13.0,0.133333333333333,0.133333333333333,2017-10-20T17:00:00.000000,2.0,0.0,0.0,2.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2276,43209346.0,UG,2.0,REGISTERED,Elecl Eng and Elecc Eng,H5001U,16.0,14.0,0.0,2.0,0.875,0.875,2017-11-06T09:00:00.000000,3.0,3.0,0.0,0.0,0.0,1.0,2017-11-02T14:33:28.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2277,43001990.0,UG,3.0,REGISTERED,Automotive Engineering,H3014U,9.0,7.0,0.0,2.0,0.777777777777778,0.777777777777778,2017-11-06T11:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2278,43436706.0,PGT,1.0,REGISTERED,Engineering Business Managemnt,H9000T,13.0,10.0,0.0,3.0,0.769230769230769,0.769230769230769,2017-11-03T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2279,43002062.0,UG,3.0,REGISTERED,Mechanical Engineering,H3002U,9.0,6.0,0.0,3.0,0.666666666666667,0.666666666666667,2017-11-06T11:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2280,43210522.0,UG,0.0,PWD-PERSONAL,Comp Sci (FDN),G5009U,28.0,5.0,0.0,23.0,0.178571428571429,0.178571428571429,2017-10-31T11:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2281,43402846.0,UG,2.0,REGISTERED,Computer Science,G5001U,12.0,11.0,0.0,1.0,0.916666666666667,0.916666666666667,2017-11-03T14:00:00.000000,2.0,2.0,0.0,0.0,0.0,1.0,2017-11-09T16:27:14.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2282,43433666.0,PGT,1.0,REGISTERED,Intel and Adap Sys,G5Q32T,16.0,15.0,0.0,1.0,0.9375,0.9375,2017-11-06T11:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2283,43202446.0,UG,2.0,REGISTERED,Comp Sci and AI,G5005U,11.0,7.0,0.0,4.0,0.636363636363636,0.636363636363636,2017-10-30T12:59:59.999000,1.0,1.0,0.0,0.0,0.0,1.0,2017-10-26T15:09:52.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2284,43429066.0,PGT,1.0,PWD-PERSONAL,IT with Bus and Mgmt,H7504T,18.0,10.0,1.0,7.0,0.555555555555556,0.611111111111111,2017-11-02T15:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2285,42801364.0,UG,3.0,REGISTERED,Mechanical Engineering,H3006U,10.0,9.0,0.0,1.0,0.9,0.9,2017-11-06T11:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2286,43409104.0,UG,0.0,REGISTERED,Crtve Tech and Dgn with FY,W2002U,18.0,16.0,0.0,2.0,0.888888888888889,0.888888888888889,2017-11-03T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2287,43202284.0,UG,2.0,REGISTERED,Mechanical Engineering (IP),H32F0U,19.0,18.0,0.0,1.0,0.947368421052632,0.947368421052632,2017-11-06T11:00:00.000000,2.0,2.0,0.0,0.0,0.0,1.0,2017-11-02T12:50:42.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2288,43409114.0,UG,0.0,REGISTERED,Eng (FDN),H9001U,30.0,17.0,0.0,13.0,0.566666666666667,0.566666666666667,2017-11-06T12:59:59.999000,6.0,6.0,0.0,0.0,0.0,1.0,2017-10-23T11:53:38.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2289,43209626.0,UG,1.0,REGISTERED,Product Design,H7003U,18.0,13.0,0.0,5.0,0.722222222222222,0.722222222222222,2017-11-03T11:00:00.000000,1.0,1.0,0.0,0.0,0.0,1.0,2017-10-26T15:08:24.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2290,43202464.0,UG,2.0,REGISTERED,Computer Science,G4010U,12.0,1.0,0.0,11.0,0.0833333333333333,0.0833333333333333,2017-10-18T11:00:00.000000,2.0,2.0,0.0,0.0,0.0,1.0,2017-11-10T16:46:08.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
